Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Sep-25,30-Sep-25,CE,26850,1.2,1.4,0.8,1.15,1,1.15,36800,741088.9,28.9,125700,-9900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22950,-,-,-,1911,1911,1719.7,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26250,1.45,1.9,1.2,1.6,1.4,1.6,135419,2666215.24,153.68,1562625,230775,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23650,1227.55,1227.55,1018.75,1023.05,1031.55,1023.05,5,92.82,4.13,1125,-75,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26200,1.15,2.1,1.15,1.65,1.45,1.65,292336,5744744.81,342.41,3835950,-1408500,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25650,3,3.5,2.15,2.85,2.5,2.85,547103,10526053.26,1159.3,1699425,-601200,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23700,1194.2,1194.2,981.8,988.8,999.8,988.8,62,1149.34,47.29,4350,-1275,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24800,168,170,42.35,46.4,45.1,46.4,5458921,101892530,356599.44,12609075,10744425,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22900,-,-,-,2232,2232,1769.65,-,-,-,750,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27250,0.9,1.15,0.65,0.9,0.75,0.9,4324,88374.48,2.73,58725,22875,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26750,1,1.4,0.9,1.2,1,1.2,33726,676656.13,28.25,144375,-9150,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27350,0.85,1.05,0.6,0.9,0.75,0.9,22049,452293.04,12.93,213375,12450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23200,1645,1645,1485.75,1485.75,1485.75,1469.85,12,223.04,14.24,2175,-450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25050,35,39.95,10.55,12.25,10.6,12.25,1486224,27944345.24,21911.84,8143050,-52650,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25300,9.45,9.55,4.3,5.05,4.45,5.05,1242588,23583849.34,5742.04,10318950,639900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24650,272.1,276.55,101.75,111.75,113.25,111.75,907237,16859263.82,86719.78,3077475,3012375,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27100,0.75,1.5,0.65,1,0.7,1,22834,464117,15.95,167475,21900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23350,-,-,-,1687.1,1687.1,1320,-,-,-,375,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25250,12,12,5,5.9,5,5.9,994914,18846756.25,5572.38,6706125,859575,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23000,1868.45,1874.75,1670,1692.8,1699.7,1692.8,2481,46134.07,3336.82,587700,-114000,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26600,1.15,1.6,0.9,1.4,1.4,1.4,132648,2646450.02,122.42,2144550,668025,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25800,2,3.05,1.8,2.45,2.15,2.45,984343,19048802.37,1765.32,6656850,-596400,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26500,1.1,1.6,1,1.35,1.25,1.35,521867,10372586.24,479.62,8268750,90975,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23800,1100,1100,868.2,894.65,901.2,894.65,85,1579.21,61.96,16500,-2550,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24350,534.75,538.45,329.9,355,363.15,355,2753,51095.15,818.49,39375,28275,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26150,1.9,2.3,1.3,1.8,1.65,1.8,133612,2620630.57,165.22,1576575,64575,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23900,950,972,769.9,791.2,801.5,791.2,76,1411.22,48.92,8700,-1875,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24900,98.85,102.75,24,25.7,24.2,25.7,3744923,70076844.07,140407.04,12014550,7583100,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24550,350.8,364.65,164.7,180.5,184.4,180.5,87699,1628171.63,13413.79,355575,312900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23450,-,-,-,1470.8,1470.8,1220.1,-,-,-,375,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26800,1.15,1.5,0.9,1.15,1.05,1.15,50402,1013122,41.8,448950,-7350,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23150,-,-,-,1716.6,1716.6,1519.85,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,29000,0.55,0.75,0.45,0.65,0.5,0.65,24536,533669.12,11.12,577875,23850,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26900,1.1,1.35,0.8,1.15,1,1.15,41255,832352.19,32.56,221100,-750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26650,0.65,1.55,0.65,1.3,1.1,1.3,38547,770492.78,34.62,234375,29850,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24700,246.15,246.15,76.6,84.5,85.35,84.5,2525862,47008959.52,217365.97,7619475,6241650,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24500,431.1,431.1,201.25,220.25,225,220.25,253354,4705732.35,50352.6,2109450,690675,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27150,0.95,1.2,0.65,0.95,0.75,0.95,22950,467334.9,15.53,193425,42375,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25600,3.3,3.7,2.35,2.95,2.65,2.95,1196661,22978530.96,2639.76,8228550,271650,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22800,2046.1,2055,1878.05,1889.15,1899.7,1889.15,146,2715.81,219.21,60375,-9750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23500,1400,1400,1166,1184.75,1197.8,1184.75,781,14508.77,743.64,270900,-20025,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25100,28,28,8.4,9.8,8.5,9.8,2143064,40367759.8,24580,14828475,497400,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,21000,3974.4,3974.4,3675,3699.4,3695.5,3699.4,900,16724.39,2549.39,245250,-37500,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26300,1.05,1.85,1.05,1.45,1.35,1.45,357088,7043922.89,362.09,5299200,623550,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27400,0.6,1.05,0.6,0.8,0.6,0.8,63799,1311105.25,35.8,1512600,189450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22750,-,-,-,2065.95,2065.95,1919.55,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24850,140,159.15,31.6,34.25,33.2,34.25,3044235,56891691.63,154761.82,6046350,5197650,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22650,-,-,-,2169.5,2169.5,2019.5,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25150,20,21.2,6.85,8.05,7,8.05,1245217,23498889.95,10984.29,6808950,-505050,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25200,14.95,16.4,5.65,6.65,5.7,6.65,1577223,29820436.69,10921.99,12236700,-465225,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25900,1.7,2.7,1.65,2.2,2.05,2.2,660860,12838245.06,1039.56,3413625,-1401750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24100,770.85,786.4,568.55,594.4,601.85,594.4,1080,20044.43,523.43,16725,3975,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24600,350,350,131.25,144.35,146.3,144.35,699691,12999098.22,89799.27,2334600,1757550,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24250,636.85,637,423.2,448.1,453.35,448.1,926,17195.63,354,21525,10500,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,17000,7758.3,7864.9,7684,7701.85,7711.85,7701.85,1061,19695,6167.25,128550,-28125,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25000,66.6,66.6,13.75,15.55,13.95,15.55,3509370,65872739.98,72052.48,18024300,1241775,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24000,900.05,903.85,667.65,692.5,703,692.5,7540,140052.66,4332.66,639600,-36450,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23350,-,-,-,1436,-,1350.7,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26200,4.25,4.25,3,3.8,3.9,3.8,9892,194403.95,26.15,254175,-26475,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24400,520,542,371.85,389.45,392.05,389.45,2447,45534.16,754.06,41025,39225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,22900,1842.6,1842.6,1842.6,1842.6,1842.6,1842.6,1,18.56,1.38,150,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26750,2.55,3.25,1.15,1.6,1.5,1.6,410,8226.15,0.53,38325,-3225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25750,8.65,8.65,6.5,7.6,8.15,7.6,7306,141137.25,40.13,118275,27150,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23150,-,-,-,1985.25,1985.25,1547.85,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26050,4,6,3.3,4.85,4.55,4.85,417,8148.61,1.47,15000,15000,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24950,168.25,168.25,73.6,76.4,77,76.4,27476,516305.74,2161.09,293250,137550,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26950,1.65,2.2,1.3,1.55,1.55,1.55,142,2870.35,0.17,9375,1350,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25500,19,26,12.35,13.35,13.45,13.35,70161,1342589.2,760.08,1530075,325050,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,27150,1.8,2.2,1.55,1.8,1.6,1.8,3676,74857.42,4.87,99525,88425,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25150,70,75.55,35.15,37.45,37.3,37.45,33346,630261.54,1272.62,305250,69075,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24000,932.05,934.05,723.35,748.5,755,748.5,941,17499.6,561.6,60525,38700,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26550,1.95,2.95,1.6,1.9,1.75,1.9,260,5177.64,0.39,28500,900,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26400,3,3.35,2.1,2.7,2.1,2.7,2368,46891.28,4.88,129750,3150,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25600,14.05,14.05,9.3,10.4,9.8,10.4,38439,738334.86,306.06,724725,221475,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23300,1425,1434.95,1421,1434.2,1433.35,1434.2,6,111.28,6.43,225,225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24500,476.55,476.55,296.15,310.9,317,310.9,13590,253307.62,3591.37,328125,241125,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24150,615.3,615.3,601.5,604.95,611.5,604.95,21,389.91,9.55,1275,1275,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23050,-,-,-,1703.7,-,1647.05,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24750,284.8,284.8,146.65,154.1,155.45,154.1,28177,527149.35,4113.79,303000,290175,24654.7
