date,title,source,link,summary,sentiment_label,sentiment_score
2025-10-09,India’s Richest Man Adds Fizz To Country’s Cola Market With Relaunch Of Iconic Brand,NewsAPI - Forbes,https://www.forbes.com/sites/yessarrosendar/2025/10/08/indias-richest-man-adds-fizz-to-countrys-cola-market-with-relaunch-of-iconic-brand/,"India’s cola wars are bubbling over with the revival of homegrown brand Campa Cola by Reliance Consumer Products, a unit of Mukesh Ambani’s Reliance Industries.",neutral,0.632187
2025-10-09,Shift to new provisioning ways to have little impact: SBI chairman CS Setty,NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/shift-to-new-provisioning-ways-to-have-little-impact-sbi-chairman-cs-setty/articleshow/124401996.cms,New banking rules for credit loss provisions will have limited impact. The Reserve Bank of India has proposed a phased implementation starting April 2027. Banks will have four years to adjust existing loans. State Bank of India chairman CS Setty confirmed the…,neutral,0.881806
2025-10-09,India’s 100 Richest 2025: Indian Tycoons Face Reality Check As Wealth Drops By $100 Billion,NewsAPI - Forbes,https://www.forbes.com/sites/naazneenkarmali/2025/10/08/indias-100-richest-2025-indian-tycoons-face-reality-check-as-wealth-drops-by-100-billion/,"The U.S. tariff shock and a weaker rupee extract toll, shrinking wealth by $100 billion.",negative,0.97102
2025-10-09,RBI unveils four digital payments initiatives,NewsAPI - The Times of India,https://economictimes.indiatimes.com/news/economy/policy/rbi-unveils-four-digital-payments-initiatives/articleshow/124401990.cms,"The RBI has launched four digital payment initiatives at the Global Fintech Fest to enhance customer convenience. These include AI-based UPI HELP for payment assistance and dispute resolution, and IoT Payments for transactions from connected devices. Addition…",neutral,0.50689
2025-10-09,India's fundraising gold rush is raising thorny questions,NewsAPI - BBC News,https://www.bbc.com/news/articles/c930v22qwkno?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,"A wave of new share offerings shows India's markets are maturing, but the euphoria demands caution, say experts.",neutral,0.419614
2025-10-09,"KYC a challenge, have to simplify norms: SBI chief",NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/kyc-a-challenge-have-to-simplify-norms-sbi-chief/articleshow/124397228.cms,"State Bank of India Chairman CS Setty has urged policymakers and tech developers to simplify the Know Your Customer (KYC) process, identifying it as a major hurdle for both banks and customers. SBI is also enhancing its YONO 2.",positive,0.767572
2025-10-09,"KYC a challenge, have to simplify norms: SBI chief",NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/kyc-a-challenge-have-to-simplify-norms-sbi-chief/articleshow/124402003.cms,"State Bank of India Chairman CS Setty has urged policymakers and tech developers to simplify the Know Your Customer (KYC) process, identifying it as a major hurdle for both banks and customers. SBI is also enhancing its YONO 2.",positive,0.767572
2025-10-09,Shift to new provisioning ways to have little impact: SBI chairman CS Setty,NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/shift-to-new-provisioning-ways-to-have-little-impact-sbi-chairman-cs-setty/articleshow/124397131.cms,New banking rules for credit loss provisions will have limited impact. The Reserve Bank of India has proposed a phased implementation starting April 2027. Banks will have four years to adjust existing loans. State Bank of India chairman CS Setty confirmed the…,neutral,0.881806
2025-10-09,"India's Finternet To Go Live In 2026, Using AI And Tokenisation: Nandan Nilekani",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/business/indias-finternet-to-go-live-in-2026-using-ai-and-tokenisation-nandan-nilekani,"Infosys co-founder Nandan Nilekani said India's ongoing digital public infrastructure project, Finternet, is expected to go live in 2026, leveraging technologies such as artificial intelligence and tokenisation of assets. The project aims to bring various ass…",neutral,0.887539
2025-10-09,India's fundraising gold rush is raising thorny questions,NewsAPI - BBC News,https://www.bbc.com/news/articles/c930v22qwkno,"A wave of new share offerings shows India's markets are maturing, but the euphoria demands caution, say experts.",neutral,0.419614
2025-10-09,"Adani Enterprises to raise up to Rs 3,000 cr via NCDs",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/adani-enterprises-to-raise-up-to-rs-3000-cr-via-ncds/articleshow/124402226.cms,"The company aims to spend ₹36,000 crore in capital expenditure in the current fiscal. Adani Enterprises first tapped the domestic NCD market last year, where it raised ₹800 crore. This was followed by fund raising of ₹1,000 crore in July this year.",positive,0.793921
2025-10-09,"Day Trading Guide for October 9, 2025: Intraday supports, resistances for Nifty50 stocks",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-09/article70139453.ece,"The Day Trading Guide provides key intraday support and resistance levels to watch for on Nifty Futures and widely traded stocks such as Reliance Industries, ONGC, Infosys, TCS, HDFC Bank, SBI and ITC",neutral,0.907547
2025-10-09,Explained: Reliance Industries is India’s most valuable company but why isn’t it No.1 in Nifty50 weight?,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/explained-reliance-industries-is-indias-most-valuable-company-but-why-isnt-it-no-1-in-nifty50-weight/articleshow/124403406.cms,"Reliance Industries, despite its massive market capitalization, ranks third in Nifty 50 index weight due to its lower free-float shares. Banks like HDFC Bank and ICICI Bank hold higher weights because a larger portion of their stock is available for public tr…",neutral,0.612219
