ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OI_Daily_Change,IV_Daily_Change
30-Jun-2026,Put,12000,4.333333333333333,0.0,20.0,0.0,0.0,0.0
29-Dec-2026,Put,12000,7.666666666666667,0.0,20.0,0.0,0.0,0.0
30-Dec-2025,Put,13000,377.6666666666667,1.0,3.0,57.89,1.0,0.0
30-Jun-2026,Put,13000,2.6666666666666665,0.0,21.6,0.0,0.0,0.0
29-Dec-2026,Put,13000,33.0,0.0,1.1,0.0,0.0,0.0
30-Jun-2026,Put,14000,20.333333333333332,0.0,20.0,0.0,0.0,0.0
29-Dec-2026,Put,14000,29.666666666666668,0.0,29.6,0.0,0.0,0.0
30-Dec-2025,Put,15000,209.33333333333337,-3.0,4.6,48.83,-3.0,0.0
30-Jun-2026,Put,15000,17.0,0.0,35.0,0.0,0.0,0.0
29-Dec-2026,Put,15000,19.666666666666668,0.0,20.55,0.0,0.0,0.0
28-Dec-2027,Put,15000,8.333333333333334,0.0,21.65,0.0,0.0,0.0
30-Dec-2025,Call,16000,4.666666666666667,0.0,9000.0,0.0,0.0,0.0
30-Dec-2025,Put,16000,231.66666666666663,-7.0,5.0,43.99,-7.0,0.0
30-Jun-2026,Put,16000,32.333333333333336,0.0,20.05,0.0,0.0,0.0
29-Dec-2026,Put,16000,32.333333333333336,0.0,23.3,0.0,0.0,0.0
30-Dec-2025,Put,16500,44.0,0.0,2.15,38.12,0.0,0.0
30-Dec-2025,Call,17000,1458.0,3.0,8975.0,0.0,3.0,0.0
30-Dec-2025,Put,17000,1004.6666666666666,3.0,6.0,39.81,3.0,0.0
29-Dec-2026,Put,17000,38.0,0.0,97.05,0.0,0.0,0.0
28-Dec-2027,Put,17000,189.33333333333337,0.0,95.05,0.0,0.0,0.0
30-Dec-2025,Call,18000,844.3333333333334,-1.0,7991.35,0.0,-1.0,0.0
30-Dec-2025,Put,18000,2341.6666666666665,110.0,8.45,36.44,110.0,0.0
29-Dec-2026,Put,18000,79.33333333333333,0.0,132.0,0.0,0.0,0.0
29-Jun-2027,Put,18000,1.3333333333333333,0.0,93.95,0.0,0.0,0.0
28-Dec-2027,Put,18000,154.0,0.0,116.05,0.0,0.0,0.0
26-Dec-2028,Put,18000,1.0,0.0,250.0,0.0,0.0,0.0
30-Dec-2025,Call,19000,149.66666666666666,0.0,6815.0,0.0,0.0,0.0
30-Dec-2025,Put,19000,5255.333333333333,54.0,12.1,33.19,54.0,0.0
31-Mar-2026,Put,19000,7.0,0.0,20.25,0.0,0.0,0.0
30-Jun-2026,Call,19000,1.3333333333333333,0.0,5792.0,0.0,0.0,0.0
30-Jun-2026,Put,19000,3.3333333333333335,0.0,205.7,0.0,0.0,0.0
29-Dec-2026,Put,19000,23.0,0.0,102.05,0.0,0.0,0.0
29-Jun-2027,Put,19000,8.0,0.0,182.1,0.0,0.0,0.0
28-Dec-2027,Put,19000,9.0,0.0,140.05,0.0,0.0,0.0
27-Jun-2028,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
26-Dec-2028,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
26-Jun-2029,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Call,19500,15.333333333333334,0.0,5980.0,0.0,0.0,0.0
30-Dec-2025,Call,20000,4882.333333333333,-71.0,6069.7,0.0,-71.0,0.0
30-Dec-2025,Put,20000,11453.0,-469.0,14.0,29.06,-469.0,0.0
31-Mar-2026,Put,20000,1119.0,51.0,33.0,23.23,51.0,0.0
30-Jun-2026,Put,20000,4691.0,0.0,67.9,0.0,0.0,0.0
29-Dec-2026,Put,20000,551.3333333333334,22.0,105.0,21.02,22.0,0.0
29-Jun-2027,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0
28-Dec-2027,Put,20000,52.666666666666664,0.0,251.9,0.0,0.0,0.0
27-Jun-2028,Put,20000,0.0,0.0,400.0,0.0,0.0,0.0
26-Dec-2028,Put,20000,14.666666666666666,0.0,330.0,0.0,0.0,0.0
26-Jun-2029,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Call,21000,5301.333333333333,-17.333333333333332,5090.3,0.0,-17.333333333333332,0.0
30-Dec-2025,Put,21000,20670.666666666668,396.3333333333333,18.85,25.55,396.3333333333333,0.0
31-Mar-2026,Call,21000,3.0,0.0,5350.0,0.0,0.0,0.0
31-Mar-2026,Put,21000,1696.0,1.0,43.8,20.93,1.0,0.0
30-Jun-2026,Put,21000,4895.0,39.0,59.95,19.15,39.0,0.0
29-Dec-2026,Put,21000,617.6666666666666,68.0,122.0,19.32,68.0,0.0
29-Jun-2027,Put,21000,13.333333333333334,0.0,206.0,0.0,0.0,0.0
28-Dec-2027,Put,21000,13.666666666666666,0.0,340.0,0.0,0.0,0.0
27-Jun-2028,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0
26-Dec-2028,Put,21000,16.666666666666668,0.0,618.05,0.0,0.0,0.0
26-Jun-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Call,22000,6050.333333333333,-23.666666666666668,4101.6,0.0,-23.666666666666668,0.0
30-Dec-2025,Put,22000,21990.333333333332,-976.6666666666666,22.2,21.48,-976.6666666666666,0.0
31-Mar-2026,Call,22000,6.0,0.0,4432.35,0.0,0.0,0.0
31-Mar-2026,Put,22000,5495.0,-67.0,57.6,18.57,-67.0,0.0
30-Jun-2026,Put,22000,483.0,8.0,80.3,17.42,8.0,0.0
29-Dec-2026,Call,22000,25.0,0.0,5600.0,0.0,0.0,0.0
29-Dec-2026,Put,22000,859.6666666666666,31.0,185.0,18.83,31.0,0.0
29-Jun-2027,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0
28-Dec-2027,Put,22000,27.333333333333332,0.0,373.95,0.0,0.0,0.0
27-Jun-2028,Put,22000,4.333333333333333,0.0,470.05,0.0,0.0,0.0
26-Dec-2028,Put,22000,5.0,0.0,447.0,0.0,0.0,0.0
26-Jun-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Call,22600,155.0,-18.0,3205.0,0.0,-18.0,0.0
28-Oct-2025,Put,22600,63439.0,3508.0,0.75,44.86,3508.0,0.0
28-Oct-2025,Call,22650,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Put,22650,6863.0,5060.0,0.7,43.9,5060.0,0.0
28-Oct-2025,Call,22700,33.0,0.0,3160.0,74.15,0.0,0.0
28-Oct-2025,Put,22700,18009.0,3006.0,1.15,45.35,3006.0,0.0
25-Nov-2025,Call,22700,2.0,2.0,3280.0,0.0,2.0,0.0
25-Nov-2025,Put,22700,4362.0,-85.0,7.5,21.06,-85.0,0.0
28-Oct-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Put,22750,640.0,263.0,0.85,43.34,263.0,0.0
25-Nov-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,22750,169.0,55.0,8.0,20.95,55.0,0.0
28-Oct-2025,Call,22800,1030.0,-178.0,3013.9,0.0,-178.0,0.0
