date,title,source,link,summary,sentiment_label,sentiment_score
2025-09-28,AIIMS Jammu becomes first Government Hospital to offer Pan-India Genomic Reports at affordable rates,NewsAPI - Statetimes.in,https://statetimes.in/aiims-jammu-becomes-first-government-hospital-to-offer-pan-india-genomic-reports-at-affordable-rates/,"STATE TIMES NEWSJAMMU: In a landmark development for precision medicine in India, the All India Institute of Medical Sciences (AIIMS) Jammu has become the first government-run hospital in the country to provide state-of-the-art genomic testing services at aff…",positive,0.864661
2025-09-28,Mcap of top-10 most valued firms drops by ₹2.99 lakh cr; TCS hit hard,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/companies/mcap-of-top-10-most-valued-firms-drops-by-299-lakh-cr-tcs-hit-hard/article70104620.ece,"Last week's market turmoil led to significant losses for top Indian firms, with TCS taking the biggest hit.",negative,0.97449
2025-09-28,Market cap of top-10 most valued firms drops by Rs 2.99 lakh cr; TCS hit hard,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/market-cap-of-top-10-most-valued-firms-drops-by-rs-2-99-lakh-cr-tcs-hit-hard/articleshow/124191203.cms,"The combined market valuation of the top-10 most valued firms eroded by Rs 2,99,661.36 crore last week, in line with a bearish trend in equities, with IT bellwether Tata Consultancy Services taking the biggest hit.",negative,0.971328
2025-09-28,"IndusInd Bank, Wipro, Infosys, TCS are Emkay’s preferred picks amid volatility. Here’s why",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/indusind-bank-wipro-infosys-tcs-are-emkays-preferred-picks-amid-volatility-heres-why/articleshow/124193765.cms,"Amid heightened trade tensions and market volatility, Emkay Global has identified a clutch of value and quality stocks it believes could outperform in the months ahead.",positive,0.917329
2025-09-28,"Q2 FY26 Results: HDFC Bank, ICICI Bank, IDFC First Bank To Announce Earnings On This Date",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/quarterly-earnings/q2-fy26-results-hdfc-bank-icici-bank-idfc-first-bank-to-announce-earnings-on-this-date,Many of India's leading banks are set to announce the results for the second quarter of FY26. Investors and analysts will be tracking the results as it will provide vital information about the performance of the banking sector. The results will also help to g…,neutral,0.853266
2025-09-28,"I’m using Gemini to improve my investment strategy, and it’s beating my portfolio advisor",NewsAPI - Android Authority,https://www.androidauthority.com/google-gemini-investment-advice-3599295/,I asked Google Gemini to work on my mutual funds to see if it could outperform my advisor. The results will surprise you.,positive,0.809183
2025-09-28,ITC Hotels plans foray in branded residences,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/news/real-estate/itc-hotels-plans-foray-in-branded-residences/article70105413.ece,"ITC Hotels explores growth through branded residences, with ongoing discussions and opportunities in leisure destinations and metros.",neutral,0.709305
2025-09-28,RBI may go for 25 bps rate cut as inflation likely to remain benign: SBI Research report,NewsAPI - The Times of India,https://economictimes.indiatimes.com/news/economy/indicators/rbi-may-go-for-25-bps-rate-cut-as-inflation-likely-to-remain-benign-sbi-research-report/articleshow/124193301.cms,"A State Bank of India (SBI) report has suggested a 25 bps repo rate cut in the upcoming RBI monetary policy, citing benign inflation. However, most economists expect the Monetary Policy Committee to maintain status quo when it announces its decision on Octobe…",negative,0.651562
2025-09-28,Saurabh Mukherjea-led Marcellus Investment Managers filed FIR against ex-CFO. Here's why,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/saurabh-mukherjea-led-marcellus-investment-managers-filed-fir-against-ex-cfo-heres-why/articleshow/124191553.cms,"Marcellus Investment Managers filed a police complaint against ex-CFO Pankaj Harish Gupta for diverting Rs 1.18 crore for personal use. The firm reassures clients their investments remain unaffected. Gupta admitted misappropriation, while Marcellus cooperates…",negative,0.823845
2025-09-28,HDFC Bank faces ban from Dubai Financial Services Authority over regulatory non-compliance,NewsAPI - The Times of India,https://economictimes.indiatimes.com/news/international/business/hdfc-bank-faces-ban-from-dubai-financial-services-authority-over-regulatory-non-compliance/articleshow/124186343.cms,HDFC Bank received a ban from the Dubai Financial Services Authority. Its DIFC branch cannot onboard new clients or conduct fresh business. This action followed the bank's failure to meet regulatory requirements. Lapses in advising and arranging credit for cl…,negative,0.958361
