ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV
02-Dec-2025,Call,25500,300.0,300.0,684.4,12.473412040209864
02-Dec-2025,Call,25700,750.0,750.0,547.6,12.094150613531736
02-Dec-2025,Call,25900,75.0,75.0,448.35,12.421475741278131
02-Dec-2025,Call,25950,75.0,,509.45,14.985822344685328
02-Dec-2025,Call,26000,2850.0,375.0,361.05,11.291367245745601
02-Dec-2025,Call,26100,150.0,150.0,290.0,10.518788758489059
02-Dec-2025,Call,26250,75.0,,262.75,11.518259323831673
02-Dec-2025,Call,26300,825.0,600.0,238.0,11.314777139922139
02-Dec-2025,Call,26350,225.0,-75.0,207.25,10.880233522216837
02-Dec-2025,Call,26400,1725.0,750.0,192.45,10.91942554737872
02-Dec-2025,Call,26500,3525.0,2925.0,178.1,11.433450429596565
02-Dec-2025,Call,26550,750.0,750.0,162.5,11.367570953942941
02-Dec-2025,Call,26600,1275.0,1275.0,132.0,10.71696711960458
02-Dec-2025,Call,26700,2325.0,1050.0,112.75,10.830855216640009
02-Dec-2025,Call,26800,2175.0,-225.0,83.1,10.368614129312801
02-Dec-2025,Call,27550,3225.0,3150.0,26.0,11.66669593080832
02-Dec-2025,Call,27650,300.0,300.0,26.65,12.281838210018977
02-Dec-2025,Put,24100,1050.0,1050.0,31.0,14.665838773118658
02-Dec-2025,Put,24500,5550.0,1425.0,46.05,13.28325774208216
02-Dec-2025,Put,24600,150.0,150.0,55.0,13.198539884610518
02-Dec-2025,Put,24950,1650.0,525.0,77.5,11.839179165436885
02-Dec-2025,Put,25250,1575.0,1575.0,139.15,11.942212874659033
02-Dec-2025,Put,25300,2925.0,2925.0,139.6,11.485030148468853
02-Dec-2025,Put,25350,1575.0,1575.0,141.75,11.085081723239483
02-Dec-2025,Put,25400,3075.0,3075.0,169.1,11.583094263219113
02-Dec-2025,Put,25450,1650.0,1650.0,161.75,10.813061429295828
02-Dec-2025,Put,25500,3375.0,2700.0,195.6,11.45042954268154
02-Dec-2025,Put,25550,1575.0,1575.0,185.45,10.56888208682954
02-Dec-2025,Put,25600,75.0,,144.5,8.656792997076511
02-Dec-2025,Put,25650,300.0,,160.2,8.63774314686869
02-Dec-2025,Put,25700,2850.0,600.0,250.0,10.910001670753944
02-Dec-2025,Put,25750,150.0,,175.65,7.985771840225983
02-Dec-2025,Put,25800,6150.0,1275.0,295.6,11.037795866238687
02-Dec-2025,Put,25850,225.0,,206.45,7.682711385985688
02-Dec-2025,Put,25900,1050.0,675.0,346.35,11.188624458354512
02-Dec-2025,Put,25950,1050.0,675.0,367.2,11.081568891605919
02-Dec-2025,Put,26000,2925.0,-6375.0,381.85,10.759139958485685
02-Dec-2025,Put,26050,375.0,225.0,372.2,9.67833450603946
02-Dec-2025,Put,26100,1425.0,300.0,380.3,9.0827033726571
02-Dec-2025,Put,26150,675.0,150.0,394.0,8.605862700947151
02-Dec-2025,Put,26200,1725.0,,408.8,8.104689136366162
02-Dec-2025,Put,26250,600.0,150.0,443.2,0.0
02-Dec-2025,Put,26300,525.0,-75.0,462.5,0.0
04-Nov-2025,Call,23000,1725.0,1725.0,2860.0,37.5267260851331
04-Nov-2025,Call,23450,75.0,75.0,2404.25,30.408599734311455
04-Nov-2025,Call,23500,75.0,75.0,2354.0,29.744627873033664
04-Nov-2025,Call,23550,75.0,75.0,2304.35,29.27107698124526
04-Nov-2025,Call,23600,75.0,75.0,2263.2,31.08143638774279
04-Nov-2025,Call,23650,75.0,75.0,2207.75,29.083226927208898
04-Nov-2025,Call,23700,75.0,75.0,2159.15,28.859384056829953
04-Nov-2025,Call,23750,75.0,75.0,2117.85,30.28031240362209
04-Nov-2025,Call,23800,150.0,150.0,2064.6,28.95476637055529
04-Nov-2025,Call,23850,75.0,75.0,2017.1,28.8767280736682
04-Nov-2025,Call,23900,75.0,75.0,1964.2,27.63736475177462
04-Nov-2025,Call,23950,75.0,75.0,1914.45,27.077047209675513
04-Nov-2025,Call,24000,10350.0,3900.0,1856.0,24.47368308763895
