ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change
25-Jun-2030,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Call,21000,5303.666666666667,2.3333333333333335,5306.0,0.0,5301.333333333333,0.0,2.3333333333339397,0.0
30-Dec-2025,Put,21000,20676.333333333332,5.666666666666667,17.65,26.46,20670.666666666668,25.55,5.666666666664241,0.9100000000000001
31-Mar-2026,Call,21000,3.0,0.0,5350.0,0.0,3.0,0.0,0.0,0.0
31-Mar-2026,Put,21000,1696.0,0.0,42.2,21.4,1696.0,20.93,0.0,0.46999999999999886
30-Jun-2026,Put,21000,4986.0,91.0,57.05,19.41,4895.0,19.15,91.0,0.26000000000000156
29-Dec-2026,Put,21000,600.6666666666666,-17.0,120.0,19.58,617.6666666666666,19.32,-17.0,0.259999999999998
29-Jun-2027,Put,21000,13.333333333333334,0.0,206.0,0.0,13.333333333333334,0.0,0.0,0.0
28-Dec-2027,Put,21000,13.666666666666666,0.0,340.0,0.0,13.666666666666666,0.0,0.0,0.0
27-Jun-2028,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-Dec-2028,Put,21000,16.666666666666668,0.0,618.05,0.0,16.666666666666668,0.0,0.0,0.0
26-Jun-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Call,22000,6048.333333333333,-2.0,4319.95,0.0,6050.333333333333,0.0,-2.0,0.0
30-Dec-2025,Put,22000,21484.333333333332,-506.0,21.7,22.5,21990.333333333332,21.48,-506.0,1.0199999999999996
31-Mar-2026,Call,22000,7.0,1.0,4432.35,0.0,6.0,0.0,1.0,0.0
31-Mar-2026,Put,22000,5529.0,34.0,56.0,19.07,5495.0,18.57,34.0,0.5
30-Jun-2026,Put,22000,477.0,-6.0,76.8,17.7,483.0,17.42,-6.0,0.2799999999999976
29-Sep-2026,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-Dec-2026,Call,22000,25.0,0.0,5600.0,0.0,25.0,0.0,0.0,0.0
29-Dec-2026,Put,22000,849.6666666666666,-10.0,172.0,18.83,859.6666666666666,18.83,-10.0,0.0
29-Jun-2027,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Dec-2027,Put,22000,27.333333333333332,0.0,373.95,0.0,27.333333333333332,0.0,0.0,0.0
