date,title,source,link,summary,sentiment_label,sentiment_score
2025-09-09,"TaMo, M&M lead auto rally with price cuts seen driving demand",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/tamo-mm-lead-auto-rally-with-price-cuts-seen-driving-demand/articleshow/123775800.cms,"Automobile stocks surged following GST rate cuts. Tata Motors and Mahindra & Mahindra led the gains. Vehicle prices have been reduced, boosting investor confidence. Festive season demand is anticipated to drive sales. Analysts predict growth in smaller car se…",positive,0.9502
2025-09-09,Consumer goods companies hire legal firms to navigate new GST norms and avoid anti-profiteering issues,NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/cons-products/fmcg/consumer-goods-companies-hire-legal-firms-to-navigate-new-gst-norms-and-avoid-anti-profiteering-issues/articleshow/123772211.cms,"Consumer goods companies are seeking legal guidance to navigate revised GST norms and avoid anti-profiteering issues after the NAA's sunset clause. Firms, especially in packaged food and personal care, need advice on input tax credit application, pricing, and…",neutral,0.85891
2025-09-09,'Sony Pictures is last US entertainment company with big India show',NewsAPI - The Times of India,https://economictimes.indiatimes.com/industry/media/entertainment/sony-pictures-is-last-us-entertainment-company-with-big-india-show/articleshow/123772389.cms,"Sony Pictures Entertainment (SPE) considers India a crucial market, contributing a tenth of its global revenue and profit. Despite uneven growth, SPE remains committed to investing in India across television, sports, and digital platforms. Following a failed …",positive,0.847276
2025-09-09,"Day Trading Guide for September 9, 2025: Intraday supports, resistances for Nifty50 stocks",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-september-09/article70025817.ece,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",neutral,0.930606
2025-09-09,"BREAKING: Motive Defeats Samsara in ITC Ruling, Marking Latest Win in Multi-Year Legal Onslaught from Competitors",NewsAPI - Yahoo Entertainment,https://finance.yahoo.com/news/breaking-motive-defeats-samsara-itc-140306236.html,"The U.S. International Trade Commission has ruled in favor of Motive, rejecting Samsara’s claims of patent infringement and adding to a growing list of...",positive,0.879882
2025-09-09,EOW summons Raj Kundra in Rs 60-crore cheating case,NewsAPI - The Indian Express,https://indianexpress.com/article/cities/mumbai/eow-summons-raj-kundra-in-rs-60-crore-cheating-case-10240075/,"The EOW has only summoned Kundra and not Shilpa. Last week, the EOW issued a Look-Out Circular against the couple.",negative,0.850778
2025-09-09,"Nifty Prediction Today – September 9, 2025: Nifty futures: Facing a barrier",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-september-9-2025-nifty-futures-facing-a-barrier/article70028480.ece,"Nifty 50 opens with a bullish bias, Infosys and Wipro top gainers, Nifty IT outperforms, futures face resistance at 25,000.",positive,0.905042
2025-09-09,Ahead of Market: 10 things that will decide stock market action on Wednesday,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/123790262.cms,"Indian markets ended higher as Infosys’ share buyback announcement boosted IT stocks, while consumer discretionary gained on GST optimism. Expectations of a U.S. Fed rate cut further lifted investor sentiment, with Sensex closing at 81,101 and Nifty at 24,869.",positive,0.938699
2025-09-09,"Share Market Highlights: Sensex rises 314 pts, Nifty tops 24,850; Infosys jumps 5% on buyback buzz",NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/stock-market-highlights-9-september-2025/article70026610.ece,"Sensex, Nifty updates on 9 Sept 2025: The Sensex gained 314 points to close at 81,101 and the Nifty ended 95 points higher at 24,869 on Tuesday, supported by IT stocks and hopes of a U.S. Fed rate cut. Infosys surged over 5% after announcing a board meet to c…",positive,0.938729
2025-09-09,Japan’s Sumitomo Mitsui to exit Kotak ahead of Yes Bank stake purchase,NewsAPI - Livemint,https://www.livemint.com/industry/banking/smbc-to-exit-kotak-bank-stake-after-yes-bank-deal-approval-sumitomo-mitsui-11757428742859.html,"The foreign lender will sell its entire 1.65% stake in Kotak Bank in a block deal worth at least  ₹6,166 crore, according to deal terms. SMBC is likely selling the stake to avoid conflict of interest as it has received RBI's approval to acquire nearly 25% in …",neutral,0.923433
2025-09-09,"Bank Indonesia buys longer-dated government bonds to stabilise market, traders say",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/bank-indonesia-buys-longer-dated-government-bonds-to-stabilise-market-traders-say/articleshow/123779400.cms,Bank Indonesia acted to stabilise markets. This followed the unexpected removal of Finance Minister Sri Mulyani Indrawati. The move triggered a selloff in the Rupiah and Indonesian bonds. Bank Indonesia bought longer-dated government bonds. They also interven…,negative,0.790948
2025-09-09,Global bonds climb 20% from 2022 low with Fed set to resume cuts,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/global-bonds-climb-20-from-2022-low-with-fed-set-to-resume-cuts/articleshow/123779300.cms,"Global bonds are rallying, with Bloomberg's GlobalAgg Index hitting its highest level since March 2022, fueled by cooling US labor data and expectations of Federal Reserve rate cuts. Central banks are reducing borrowing costs amid easing inflation and labor m…",positive,0.917403
2025-09-09,French 10-year bond yields tops Italy levels after PM falls,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/bonds/french-10-year-bond-yields-tops-italy-levels-after-pm-falls/articleshow/123782541.cms,"France's borrowing costs exceeded those of traditional European debt laggard Italy on Tuesday, reflecting investor worries over the country's finances and political stability after Prime Minister Francois Bayrou's ouster.",positive,0.53265
2025-09-09,"93% cryptocurrency investors want regulation, 84% find current taxes unfair: Survey",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-news/93-cryptocurrency-investors-want-regulation-84-find-current-taxes-unfair-survey/articleshow/123786928.cms,"India tops global crypto adoption for the third year, but investors demand clarity. A Mudrex survey shows 93% want regulations, 84% call current taxes unfair, and 91% consider crypto policy key to voting decisions.",neutral,0.456812
2025-09-09,Sundaram Home enters Karnataka; eyes Rs 60 cr disbursements under EB segment,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/sundaram-home-enters-karnataka-eyes-rs-60-cr-disbursements-under-eb-segment/articleshow/123779522.cms,"Sundaram Home Finance expands into Karnataka, targeting Tier II and III towns with 8-10 new branches. The company aims to disburse Rs 60 crore in the first year, focusing on small business loans and affordable housing finance. This move aligns with the govern…",positive,0.668005
2025-09-09,Gold hits all-time high of Rs 1.10 lakh/10 gms in futures market,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/commodities/news/gold-hits-all-time-high-of-rs-1-10-lakh/10-gms-in-futures-market/articleshow/123777887.cms,"Gold prices in New Delhi soared to a record high of Rs 1,10,047 per 10 grams. This surge followed a global rally driven by a weaker US dollar and expectations of Federal Reserve interest rate cuts. On MCX, gold futures for December and October deliveries also…",positive,0.906434
2025-09-09,British real estate investor PRS REIT says KKR joins sale process,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/british-real-estate-investor-prs-reit-says-kkr-joins-sale-process/articleshow/123777750.cms,US private equity firm KKR has joined the formal sale process of British real estate investment trust PRS REIT. Property investor Long Harbour already made a bid. KKR has not yet made a bid. Long Harbour's takeover proposal remains at 631.6 million pounds. PR…,neutral,0.937736
2025-09-09,Gold climbs to another record after Fed rate-cut optimism soars,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/commodities/news/gold-climbs-to-another-record-after-fed-rate-cut-optimism-soars/articleshow/123776545.cms,"Gold reached a new record high, fueled by expectations of Federal Reserve rate cuts following weak US payrolls data. Traders are pricing in multiple rate cuts this year, boosting gold's appeal as a non-interest-bearing asset. The metal's rally is also support…",positive,0.938737
2025-09-09,"Nifty, Sensex End Higher As Infosys Leads Gains",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/stock-market-highlights-nifty-sensex-end-higher-as-infosys-leads-gains,"The benchmark equity indices ended higher on Tuesday, led by the share price of Infosys Ltd. Both the indices closed 0.39% higher. The NSE Nifty 50 settled 95.45 points higher at 24,868.6 and the BSE Sensex closed 314.02 points up at 80,101.32. The Nifty rose…",positive,0.942867
2025-09-09,Phoenix Group posts adjusted operating profit of $612m in H1 2025,NewsAPI - Lifeinsuranceinternational.com,https://www.lifeinsuranceinternational.com/news/phoenix-group-operating-profit-h1-2025/,The UK-based insurer is preparing for a corporate rebranding to Standard Life plc by March 2026.,neutral,0.94326
2025-09-09,Stock market benchmark indices trade higher tracking rally in global peers amid US Fed rate cut hopes,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/stock-market-benchmark-indices-trade-higher-tracking-rally-in-global-peers-amid-us-fed-rate-cut-hopes/article70028528.ece,"The 30-share BSE Sensex rallied 366.87 points to 81,154.17 in early trade and 50-share NSE Nifty climbed 101.35 points to 24,874.50",positive,0.935125
2025-09-09,Open Decks by K-Bar Powiśle,NewsAPI - Fontsinuse.com,https://fontsinuse.com/uses/71812/open-decks-by-k-bar-powisle,"Contributed by Mikołaj FaronMikołaj Faron. License: All Rights Reserved. Poster made for the Open Decks series by K-Bar Powiśle club in Warsaw, Poland.
Made using mixed scanning and printing techniques, utilizing ITC Machine inspired by the Underground Resist…",neutral,0.938203
2025-09-09,"Market Wrap: Sensex gains 314 points, Nifty above 24,850 on Infosys buyback optimism, consumer stocks rally",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-gains-314-points-nifty-above-24850-on-infosys-buyback-optimism-consumer-stocks-rally/articleshow/123784424.cms,"Indian equities closed higher on Tuesday, fueled by Infosys' share buyback announcement, which boosted IT stocks. Optimism surrounding potential GST cuts and growing expectations of a U.S. interest rate reduction further supported market sentiment. The Sensex…",positive,0.942121
2025-09-09,"Stock Picks Today: Kotak Mahindra Bank, HUL, Metro Brands, Ambuja Cements On Brokerages' Radar",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/stock-picks-today-kotak-mahindra-bank-hul-metro-brands-ambuja-cements-on-brokerages-radar,"Kotak Mahindra Bank Ltd., Hindustan Unilever Ltd., Metro Brands Ltd., Aditya Birla Fashion and Retail Ltd., and Aditya Birla Lifestyle Brands Ltd., Ambuja Cements Ltd., are among the companies garnering brokerage commentary today.",neutral,0.9095
2025-09-09,Cognizant appoints former Quick Heal Technologies CEO Vishal Salvi as new Cybersecurity head,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/info-tech/cognizant-appoints-former-quick-heal-technologies-ceo-vishal-salvi-as-new-cybersecurity-head/article70028954.ece,"Cognizant appoints Vishal Salvi as Senior VP for Cybersecurity, bringing extensive experience in leadership and cybersecurity expertise.",neutral,0.752418
2025-09-09,Cognizant appoints former Quick Heal Technologies CEO Vishal Salvi as new Cybersecurity head,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/companies/cognizant-appoints-former-quick-heal-technologies-ceo-vishal-salvi-as-new-cybersecurity-head/article70028954.ece,"Cognizant appoints Vishal Salvi as Senior VP for Cybersecurity, bringing extensive experience in leadership and cybersecurity expertise.",neutral,0.752418
2025-09-09,HDFC Bank Reduces Lending Rates: Check How Much Your EMIs Will Decrease,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/personal-finance/hdfc-bank-reduces-lending-rates-check-how-much-your-emis-will-decrease,"HDFC Bank has announced a reduction in its Marginal Cost of Funds-based Lending Rate or MCLR on select tenures by up to 5 basis points. This move is a welcome development for borrowers with loans linked to this benchmark, as it is expected to translate into a…",positive,0.858712
2025-09-09,"FPIs Break 11-Session Selling Streak, Buy Stocks Worth Rs 2,051 Crore",NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/fpis-break-11-session-selling-streak-buy-stocks-worth-rs-2051-crore,"Foreign portfolio investors turned net buyers of Indian shares on Tuesday after 11 sessions of selling as the market closed with gains. The FPIs bought stocks worth approximately Rs 2,050.5 crore, according to provisional data from the National Stock Exchange…",positive,0.796184
2025-09-09,SBI lists $500 m Reg-S bond on NSE-IX in GIFT City,NewsAPI - BusinessLine,https://www.thehindubusinessline.com/markets/sbi-lists-500-m-reg-s-bond-on-nse-ix-in-gift-city/article70029287.ece,"SBI lists $500 million Regulation S bonds at NSE-IX in GIFT City, Gujarat with 4.50% coupon rate.",neutral,0.948187
2025-09-09,"Stocks in news: Infosys, Hero MotoCorp, Coal India, Hudco, Voltamp Transformers",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-infosys-hero-motocorp-coal-india-hudco-voltamp-transformers/articleshow/123770140.cms,"The week saw markets open strong but close with moderate gains. Infosys will consider a buyback on September 11. Hudco is set to fund Nagpur Metro with Rs 11,300 crore. TVS Motor will pass on GST cut benefits. PCBL Chemical plans a capacity boost. Coal India …",neutral,0.532881
2025-09-09,All You Need To Know Going Into Trade On Tuesday,NewsAPI - Ndtvprofit.com,https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-september-9-2025,"Nifty Sept futures is up by 0.21% to 24,900.80 at a premium of 127.65 points. Nifty Sept futures open interest down by 0.73%. Nifty Options Sept 9 Expiry: Maximum Call open interest at 25,000 and Maximum Put open interest at 24,500. The NSE Nifty 50 settled 3…",negative,0.831117
2025-09-09,Pre-market action: Here's the trade setup for today's session,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/123770188.cms,"Indian stock markets closed slightly higher after a volatile trading session, with investors awaiting key inflation data from India and the US. These figures are expected to influence the US Federal Reserve's monetary policy decisions. The rupee strengthened,…",positive,0.853018
2025-09-09,Infosys shares in focus as board to consider buyback proposal in upcoming board meeting,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/infosys-shares-in-focus-as-board-to-consider-buyback-proposal-in-upcoming-board-meeting/articleshow/123776792.cms,"Infosys share price: Infosys board is set to consider a buyback proposal on September 11. The move comes after a 25% stock slide in a year, aiming to boost investor confidence amid weak IT sector sentiment, muted growth guidance, and global headwinds.",positive,0.90566
2025-09-09,"Neilsoft, Prozeal Green Energy get Sebi nod for IPOs",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/neilsoft-prozeal-green-energy-get-sebi-nod-for-ipos/articleshow/123787774.cms,"Sebi has approved IPOs of Prozeal Green Energy and Neilsoft. Prozeal aims to raise Rs 700 crore to fund working capital, debt repayment, and expansion in renewable energy. Neilsoft’s Rs 90 crore fresh issue will support capital expenditure. Both firms seek gr…",positive,0.789938
2025-09-09,Sebi says investigation into Jane Street could be wider,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/csays-investigation-into-jane-street-could-be-wider/articleshow/123781068.cms,"Securities and Exchange Board of India stated that the investigation and final order on Jane Street could be much wider. SEBI will not release documents not relied upon for the order. Jane Street appealed against SEBI, seeking document release to rebut market…",negative,0.762356
2025-09-09,European shares steady as M&A optimism offsets French political turmoil,NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/european-shares-steady-as-ma-optimism-offsets-french-political-turmoil/articleshow/123781544.cms,European shares remained stable. Merger deals provided initial optimism. This offset political uncertainty in France. Francois Bayrou's ouster impacted market sentiment. Anglo American's shares rose after merger with Teck Resources. Monte dei Paschi di Siena'…,positive,0.942745
2025-09-09,"Buy Inox Wind Ltd., target price Rs 210.0 : Motilal Oswal Financial Services",NewsAPI - The Times of India,https://economictimes.indiatimes.com/markets/stocks/recos/buy-inox-wind-ltd-target-price-rs-210-0-motilal-oswal-financial-services/articleshow/123783101.cms,Buy Inox Wind Ltd. at a price target of Rs 210.0 .,neutral,0.938943
2025-09-09,Rowland & Porsche Conquer Formula E in 2025; Series Unveils Record 2026 Calendar,NewsAPI - CleanTechnica,https://cleantechnica.com/2025/09/08/rowland-series-unveils-record-2026-calendar/,"The 2024–2025 ABB FIA Formula E World Championship concluded as a season of dual triumphs, with Nissan’s Oliver Rowland securing a dominant driver’s crown while Porsche finally captured the elusive teams’ and manufacturers’ titles after a season-long battle. …",positive,0.679806
2025-09-09,"Sorry Jerome, weakening economic data is ‘exactly what markets needed’, says Wharton professor",NewsAPI - Fortune,https://fortune.com/2025/09/09/sorry-jerome-weakening-economic-data-is-exactly-what-markets-needed-says-wharton-professor/,"Jerome Powell’s Fed faces labor market weakness as Wall Street bets on rate cuts, with Jeremy Siegel and Goldman Sachs backing easing ahead.",negative,0.965581
