ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change,date
29-Dec-2026,Put,20000,542.3333333333334,3.0,147.05,20.72,542.3333333333334,20.72,0.0,0.0,2025-09-26
29-Jun-2027,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Dec-2027,Put,20000,52.666666666666664,0.0,251.9,0.0,52.666666666666664,0.0,0.0,0.0,2025-09-26
27-Jun-2028,Put,20000,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
26-Dec-2028,Put,20000,14.666666666666666,0.0,330.0,0.0,14.666666666666666,0.0,0.0,0.0,2025-09-26
26-Jun-2029,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
24-Dec-2029,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Jun-2030,Put,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,21000,3770.0,-427.0,3971.5,84.65,3770.0,84.65,0.0,0.0,2025-09-26
30-Sep-2025,Put,21000,11923.0,-279.0,0.7,50.44,11923.0,50.44,0.0,0.0,2025-09-26
30-Dec-2025,Call,21000,4537.333333333333,463.6666666666667,4324.4,0.0,4537.333333333333,0.0,0.0,0.0,2025-09-26
30-Dec-2025,Put,21000,15055.333333333334,392.3333333333333,24.9,20.08,15055.333333333334,20.08,0.0,0.0,2025-09-26
31-Mar-2026,Call,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
31-Mar-2026,Put,21000,1391.0,25.0,56.0,18.42,1391.0,18.42,0.0,0.0,2025-09-26
30-Jun-2026,Put,21000,4821.0,26.0,104.0,18.77,4821.0,18.77,0.0,0.0,2025-09-26
29-Dec-2026,Call,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
29-Dec-2026,Put,21000,481.6666666666667,15.666666666666666,195.0,19.64,481.6666666666667,19.64,0.0,0.0,2025-09-26
29-Jun-2027,Put,21000,10.666666666666666,0.0,225.05,0.0,10.666666666666666,0.0,0.0,0.0,2025-09-26
28-Dec-2027,Put,21000,13.666666666666666,0.0,340.0,0.0,13.666666666666666,0.0,0.0,0.0,2025-09-26
27-Jun-2028,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
26-Dec-2028,Put,21000,16.666666666666668,0.0,618.05,0.0,16.666666666666668,0.0,0.0,0.0,2025-09-26
26-Jun-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
24-Dec-2029,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Jun-2030,Put,21000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,22000,2891.0,-292.0,2968.85,63.93,2891.0,63.93,0.0,0.0,2025-09-26
30-Sep-2025,Put,22000,35683.0,-5398.0,0.8,38.28,35683.0,38.28,0.0,0.0,2025-09-26
30-Dec-2025,Call,22000,6021.0,1.0,3372.0,0.0,6021.0,0.0,0.0,0.0,2025-09-26
30-Dec-2025,Put,22000,22659.333333333332,240.33333333333337,38.45,17.34,22659.333333333332,17.34,0.0,0.0,2025-09-26
31-Mar-2026,Call,22000,1.0,0.0,4200.0,0.0,1.0,0.0,0.0,0.0,2025-09-26
31-Mar-2026,Put,22000,4282.0,87.0,79.5,16.39,4282.0,16.39,0.0,0.0,2025-09-26
30-Jun-2026,Put,22000,103.0,-13.0,137.45,17.02,103.0,17.02,0.0,0.0,2025-09-26
29-Dec-2026,Call,22000,20.0,1.0,5000.0,0.0,20.0,0.0,0.0,0.0,2025-09-26
29-Dec-2026,Put,22000,629.6666666666666,137.0,278.0,19.02,629.6666666666666,19.02,0.0,0.0,2025-09-26
29-Jun-2027,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Dec-2027,Put,22000,20.333333333333332,2.0,460.0,21.27,20.333333333333332,21.27,0.0,0.0,2025-09-26
27-Jun-2028,Put,22000,4.333333333333333,0.0,470.05,0.0,4.333333333333333,0.0,0.0,0.0,2025-09-26
26-Dec-2028,Put,22000,3.0,0.0,390.05,0.0,3.0,0.0,0.0,0.0,2025-09-26
26-Jun-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
24-Dec-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Jun-2030,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,22600,37.0,0.0,2813.55,0.0,37.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22600,18605.0,-8.0,0.95,31.28,18605.0,31.28,0.0,0.0,2025-09-26
28-Oct-2025,Call,22600,15.0,3.0,2490.0,0.0,15.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22600,12274.0,2708.0,10.1,17.51,12274.0,17.51,0.0,0.0,2025-09-26
30-Sep-2025,Call,22650,1.0,0.0,2169.5,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22650,1569.0,642.0,0.9,30.48,1569.0,30.48,0.0,0.0,2025-09-26
28-Oct-2025,Call,22650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22650,165.0,12.0,10.35,17.26,165.0,17.26,0.0,0.0,2025-09-26
30-Sep-2025,Call,22700,5.0,-1.0,2380.0,73.85,5.0,73.85,0.0,0.0,2025-09-26
30-Sep-2025,Put,22700,16748.0,-802.0,1.0,30.17,16748.0,30.17,0.0,0.0,2025-09-26
28-Oct-2025,Call,22700,140.0,0.0,2585.0,0.0,140.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22700,653.0,-29.0,10.75,17.05,653.0,17.05,0.0,0.0,2025-09-26
25-Nov-2025,Call,22700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22700,782.0,40.0,27.2,15.68,782.0,15.68,0.0,0.0,2025-09-26
30-Sep-2025,Call,22750,1.0,0.0,2065.95,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22750,542.0,2.0,1.0,29.53,542.0,29.53,0.0,0.0,2025-09-26
28-Oct-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22750,54.0,2.0,11.1,16.83,54.0,16.83,0.0,0.0,2025-09-26
25-Nov-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22750,132.0,-1.0,29.4,15.66,132.0,15.66,0.0,0.0,2025-09-26
30-Sep-2025,Call,22800,935.0,-85.0,2158.2,44.77,935.0,44.77,0.0,0.0,2025-09-26
30-Sep-2025,Put,22800,11993.0,-920.0,1.1,29.19,11993.0,29.19,0.0,0.0,2025-09-26
28-Oct-2025,Call,22800,421.0,101.0,2285.0,0.0,421.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22800,2867.0,180.0,11.25,16.55,2867.0,16.55,0.0,0.0,2025-09-26
25-Nov-2025,Call,22800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22800,152.0,2.0,27.65,15.22,152.0,15.22,0.0,0.0,2025-09-26
30-Sep-2025,Call,22850,2.0,0.0,2011.6,0.0,2.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22850,626.0,232.0,1.05,28.41,626.0,28.41,0.0,0.0,2025-09-26
07-Oct-2025,Call,22850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,22850,745.0,413.0,2.7,20.83,745.0,20.83,0.0,0.0,2025-09-26
28-Oct-2025,Call,22850,1.0,0.0,2059.75,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22850,37.0,-1.0,11.7,16.34,37.0,16.34,0.0,0.0,2025-09-26
25-Nov-2025,Call,22850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22850,12.0,0.0,29.3,0.0,12.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,22900,10.0,0.0,2232.0,0.0,10.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22900,1431.0,-180.0,1.0,27.63,1431.0,27.63,0.0,0.0,2025-09-26
07-Oct-2025,Call,22900,2.0,2.0,2107.8,29.56,2.0,29.56,0.0,0.0,2025-09-26
07-Oct-2025,Put,22900,564.0,325.0,3.05,20.69,564.0,20.69,0.0,0.0,2025-09-26
28-Oct-2025,Call,22900,1.0,0.0,2014.25,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22900,331.0,64.0,12.95,16.29,331.0,16.29,0.0,0.0,2025-09-26
25-Nov-2025,Call,22900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22900,81.0,7.0,33.4,15.27,81.0,15.27,0.0,0.0,2025-09-26
30-Sep-2025,Call,22950,1.0,0.0,1911.0,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,22950,489.0,-72.0,1.05,27.13,489.0,27.13,0.0,0.0,2025-09-26
07-Oct-2025,Call,22950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,22950,265.0,232.0,3.4,20.53,265.0,20.53,0.0,0.0,2025-09-26
28-Oct-2025,Call,22950,1.0,0.0,1969.0,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,22950,53.0,-31.0,13.95,16.18,53.0,16.18,0.0,0.0,2025-09-26
25-Nov-2025,Call,22950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,22950,16.0,0.0,31.35,0.0,16.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23000,9356.0,-802.0,1959.4,41.52,9356.0,41.52,0.0,0.0,2025-09-26
